Dataset,n_train,WFRDA,DeepSAD,REPEN,DevNet,PPO,FEAWAD,FROD
Pima,0.16,0.6884402,0.5819827,0.6292939,0.7098587,0.707674,0.7040546,0.6779338
satellite,0.01,0.7624572,0.8237084,0.7556293,0.7924149,0.8402278,0.8264314,0.8208276
satellite,0.02,0.7624572,0.8299878,0.7385302,0.8012168,0.8438469,0.8410416,0.847479
satellite,0.04,0.7624572,0.859538,0.7526856,0.8136135,0.8398522,0.8440562,0.8509051
satellite,0.08,0.7624572,0.8931445,0.7675691,0.8107576,0.8466828,0.8520086,0.8537162
satellite,0.16,0.7624572,0.9234592,0.7233097,0.8144247,0.849821,0.8509948,0.8535762
satimage-2,0.01,0.9692689,0.8169875,0.991447,0.8156683,0.9684051,0.8182514,0.9782119
satimage-2,0.02,0.9692689,0.8076191,0.9914692,0.7971258,0.9649726,0.7924046,0.9781194
satimage-2,0.04,0.9692689,0.8321646,0.9924677,0.9068022,0.9486104,0.8883711,0.9739768
satimage-2,0.08,0.9692689,0.8969369,0.9929232,0.9114233,0.956517,0.9213845,0.9729649
satimage-2,0.16,0.9692689,0.9752973,0.9930076,0.9431646,0.9731563,0.9347954,0.9769211
sick,0.01,0.7901965,0.6839798,0.7492304,0.6228071,0.664431,0.6976124,0.8642692
sick,0.02,0.7901965,0.6824031,0.7512951,0.6106202,0.6463702,0.6113278,0.8559876
sick,0.04,0.7901965,0.672916,0.7471135,0.7779627,0.7884779,0.7273981,0.8788892
sick,0.08,0.7901965,0.7519165,0.742685,0.8623268,0.8671419,0.8568767,0.8841861
sick,0.16,0.7901965,0.8416258,0.7363006,0.8875415,0.8878447,0.8813837,0.8858238
SpamBase,0.01,0.7166486,0.6522021,0.7273322,0.8753557,0.9021248,0.849297,0.8761776
SpamBase,0.02,0.7166486,0.6162508,0.7258064,0.902858,0.9185462,0.8808273,0.8834088
SpamBase,0.04,0.7166486,0.6149819,0.7281874,0.9264711,0.9321672,0.9171298,0.8997124
SpamBase,0.08,0.7166486,0.6153341,0.7283819,0.9329325,0.9391297,0.9262197,0.9052867
SpamBase,0.16,0.7166486,0.6499575,0.7281954,0.9447722,0.9485615,0.9330671,0.9103222
thyroid,0.01,0.9084072,0.8820344,0.8920741,0.9652204,0.9802958,0.9655553,0.992935
thyroid,0.02,0.9084072,0.8948224,0.8979361,0.9854128,0.9883333,0.9727983,0.9932436
thyroid,0.04,0.9084072,0.9132889,0.899564,0.9900756,0.9906981,0.9946032,0.9965858
thyroid,0.08,0.9084072,0.9076912,0.9004132,0.9928468,0.9944123,0.991523,0.9955743
thyroid,0.16,0.9084072,0.9684466,0.9002198,0.9964504,0.9966234,0.9958447,0.9967887
